iter	Passed	Remaining
0	127	127523
1	128	64007
2	129	42876
3	129	32328
4	130	25945
5	131	21712
6	131	18683
7	132	16399
8	132	14628
9	133	13213
10	134	12050
11	134	11077
12	134	10247
13	135	9542
14	135	8929
15	136	8395
16	137	7922
17	137	7501
18	137	7122
19	138	6780
20	138	6475
21	139	6195
22	139	5940
23	140	5706
24	140	5491
25	141	5291
26	141	5104
27	142	4932
28	142	4771
29	142	4623
30	143	4489
31	144	4368
32	145	4250
33	145	4138
34	146	4031
35	146	3929
36	147	3831
37	147	3740
38	148	3655
39	148	3572
40	149	3493
41	149	3418
42	150	3346
43	150	3277
44	151	3211
45	151	3148
46	152	3088
47	152	3030
48	153	2974
49	153	2922
50	154	2873
51	154	2823
52	155	2775
53	155	2729
54	156	2684
55	156	2641
56	157	2601
57	157	2561
58	158	2524
59	158	2490
60	159	2456
61	160	2423
62	160	2389
63	161	2357
64	161	2324
65	162	2293
66	162	2264
67	163	2234
68	163	2205
69	163	2177
70	164	2149
71	164	2122
72	165	2097
73	165	2072
74	166	2048
75	166	2025
76	167	2002
77	167	1979
78	167	1957
79	168	1936
80	168	1915
81	169	1896
82	169	1875
83	170	1857
84	170	1838
85	171	1819
86	171	1802
87	172	1784
88	172	1767
89	173	1750
90	173	1735
91	174	1721
92	175	1707
93	175	1693
94	176	1679
95	176	1665
96	177	1651
97	178	1640
98	178	1626
99	179	1612
100	179	1599
101	180	1585
102	180	1573
103	181	1560
104	181	1547
105	182	1535
106	182	1524
107	183	1512
108	183	1500
109	184	1489
110	184	1477
111	184	1466
112	185	1454
113	185	1444
114	186	1433
115	186	1422
116	187	1411
117	187	1401
118	187	1391
119	188	1382
120	189	1375
121	189	1366
122	190	1357
123	190	1348
124	191	1340
125	191	1331
126	192	1322
127	192	1313
128	193	1306
129	194	1299
130	194	1291
131	195	1283
132	195	1274
133	196	1267
134	196	1259
135	197	1252
136	197	1244
137	198	1236
138	198	1229
139	198	1221
140	199	1214
141	199	1206
142	200	1199
143	200	1192
144	200	1185
145	201	1178
146	201	1171
147	202	1164
148	202	1158
149	203	1152
150	204	1147
151	204	1142
152	205	1137
153	206	1132
154	206	1126
155	207	1120
156	207	1115
157	208	1110
158	208	1104
159	209	1099
160	209	1092
161	210	1087
162	210	1081
163	211	1075
164	211	1070
165	211	1064
166	212	1059
167	212	1054
168	213	1049
169	213	1044
170	214	1039
171	214	1034
172	215	1029
173	215	1024
174	216	1019
175	216	1014
176	217	1010
177	217	1005
178	218	1000
179	218	997
180	219	992
181	219	988
182	220	984
183	221	980
184	221	976
185	222	971
186	222	967
187	223	964
188	223	960
189	224	956
190	224	952
191	225	948
192	225	943
193	226	939
194	226	935
195	227	931
196	227	927
197	228	924
198	228	920
199	229	916
200	229	912
201	229	908
202	230	904
203	230	900
204	231	897
205	231	893
206	232	889
207	232	885
208	233	882
209	233	878
210	234	875
211	234	872
212	235	869
213	235	865
214	236	862
215	236	859
216	237	856
217	237	853
218	238	849
219	238	846
220	239	843
221	239	840
222	240	836
223	240	833
224	241	830
225	241	827
226	241	823
227	242	820
228	242	817
229	243	814
230	243	811
231	244	809
232	244	806
233	245	803
234	245	800
235	246	797
236	246	794
237	247	791
238	247	788
239	248	786
240	248	783
241	249	781
242	249	778
243	250	776
244	251	773
245	251	771
246	252	768
247	252	765
248	252	762
249	253	760
250	254	758
251	254	755
252	254	752
253	255	750
254	255	747
255	256	745
256	256	742
257	257	740
258	257	737
259	258	734
260	258	732
261	259	730
262	259	727
263	260	725
264	260	722
265	260	720
266	261	717
267	261	715
268	262	712
269	262	710
270	263	708
271	263	705
272	264	705
273	265	702
274	265	701
275	266	699
276	267	697
277	268	696
278	268	694
279	269	692
280	269	689
281	270	687
282	270	685
283	270	682
284	271	680
285	271	678
286	272	676
287	272	674
288	273	671
289	273	669
290	274	667
291	274	665
292	274	663
293	275	661
294	275	659
295	276	657
296	276	655
297	277	653
298	277	651
299	278	649
300	278	647
301	279	645
302	279	643
303	280	642
304	281	640
305	281	639
306	282	637
307	282	635
308	283	633
309	284	632
310	284	630
311	285	628
312	285	626
313	286	625
314	286	623
315	287	621
316	287	619
317	288	617
318	288	616
319	289	614
320	289	612
321	289	610
322	290	608
323	290	606
324	291	605
325	291	603
326	292	601
327	292	599
328	293	597
329	293	596
330	294	594
331	294	592
332	295	591
333	295	589
334	296	588
335	296	586
336	297	584
337	297	583
338	298	581
339	298	580
340	299	578
341	299	576
342	300	575
343	300	573
344	301	572
345	301	570
346	302	568
347	302	567
348	303	565
349	303	563
350	304	562
351	304	560
352	304	558
353	305	557
354	305	555
355	306	554
356	306	552
357	307	550
358	307	549
359	308	547
360	308	545
361	308	544
362	309	543
363	310	541
364	310	540
365	311	539
366	311	537
367	312	536
368	312	535
369	313	533
370	313	532
371	314	530
372	314	529
373	315	527
374	315	526
375	316	524
376	316	523
377	317	522
378	317	520
379	318	519
380	318	517
381	319	516
382	319	515
383	320	513
384	320	512
385	321	511
386	321	509
387	322	508
388	322	506
389	323	505
390	323	504
391	324	502
392	324	501
393	325	500
394	326	499
395	326	498
396	327	496
397	327	495
398	328	494
399	328	493
400	329	491
401	329	490
402	330	489
403	330	487
404	331	486
405	331	485
406	332	483
407	332	482
408	333	481
409	333	479
410	333	478
411	334	477
412	334	476
413	335	474
414	335	473
415	336	472
416	336	470
417	337	469
418	337	468
419	338	467
420	338	465
421	339	464
422	339	463
423	340	462
424	340	461
425	341	460
426	341	458
427	342	457
428	342	456
429	343	455
430	343	453
431	344	452
432	344	451
433	345	450
434	345	448
435	346	447
436	346	446
437	346	445
438	347	443
439	347	442
440	348	441
441	348	440
442	349	439
443	349	437
444	350	436
445	350	435
446	351	434
447	351	433
448	351	431
449	352	430
450	352	429
451	353	428
452	353	427
453	354	425
454	354	424
455	355	424
456	356	423
457	356	422
458	357	421
459	357	420
460	358	418
461	358	417
462	359	416
463	359	415
464	360	414
465	360	413
466	361	412
467	361	411
468	362	410
469	362	409
470	363	407
471	363	406
472	364	405
473	364	404
474	364	403
475	365	402
476	365	401
477	366	400
478	366	398
479	367	397
480	367	396
481	368	395
482	368	394
483	369	393
484	369	392
485	370	391
486	370	390
487	371	389
488	371	388
489	372	387
490	372	386
491	373	385
492	373	384
493	374	383
494	374	382
495	375	381
496	375	380
497	376	379
498	376	378
499	377	377
500	377	376
501	378	375
502	378	374
503	379	373
504	379	371
505	379	370
506	380	369
507	380	368
508	381	367
509	381	366
510	382	365
511	382	364
512	383	363
513	383	362
514	384	361
515	384	360
516	385	359
517	385	358
518	386	358
519	386	357
520	387	356
521	387	355
522	388	354
523	388	353
524	389	352
525	389	351
526	390	350
527	390	349
528	391	348
529	391	347
530	392	346
531	392	345
532	393	344
533	393	343
534	394	342
535	394	341
536	395	340
537	395	339
538	396	338
539	396	337
540	396	336
541	397	335
542	397	334
543	398	333
544	398	332
545	399	331
546	399	330
547	400	330
548	400	329
549	401	328
550	401	327
551	402	326
552	402	325
553	403	324
554	403	323
555	404	322
556	404	321
557	405	320
558	405	319
559	406	319
560	406	318
561	406	317
562	407	316
563	407	315
564	408	314
565	408	313
566	409	312
567	409	311
568	410	310
569	410	309
570	411	308
571	411	307
572	411	306
573	412	306
574	412	305
575	413	304
576	413	303
577	414	302
578	414	301
